 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_4_reg.tif:1,283,1966.597,1396,1096,3737,1787,1
2,OP_4_reg.tif:2,283,1957.936,1243,1122,3735,1820,2
3,OP_4_reg.tif:3,283,1951.731,1357,1116,3636,1810,3
4,OP_4_reg.tif:4,283,1948.731,1239,1124,3675,1764,4
5,OP_4_reg.tif:5,283,1939.498,1199,1103,3591,1775,5
6,OP_4_reg.tif:6,283,1916.399,1388,1036,3566,1771,6
7,OP_4_reg.tif:7,283,1911.816,1076,1072,3568,1749,7
8,OP_4_reg.tif:8,283,1910.198,2027,1072,3571,1764,8
9,OP_4_reg.tif:9,283,1906.654,1196,1098,3506,1740,9
10,OP_4_reg.tif:10,283,1902.092,1221,1067,3545,1773,10
11,OP_4_reg.tif:11,283,1898.170,1318,1080,3480,1747,11
12,OP_4_reg.tif:12,283,1894.057,1217,1092,3500,1753,12
13,OP_4_reg.tif:13,283,1892.650,1268,1082,3474,1745,13
14,OP_4_reg.tif:14,283,1890.636,1437,1114,3420,1747,14
15,OP_4_reg.tif:15,283,1885.951,2512,1105,3404,1726,15
16,OP_4_reg.tif:16,283,1872.117,1301,1040,3429,1724,16
17,OP_4_reg.tif:17,283,1877.406,1218,1082,3425,1747,17
18,OP_4_reg.tif:18,283,1870.194,1327,1053,3419,1720,18
19,OP_4_reg.tif:19,283,1868.435,1237,1059,3410,1711,19
20,OP_4_reg.tif:20,283,1862.463,1366,1053,3368,1726,20
21,OP_4_reg.tif:21,283,1854.943,1399,1067,3341,1717,21
22,OP_4_reg.tif:22,283,1853.322,1215,1084,3325,1708,22
23,OP_4_reg.tif:23,283,1844.049,1096,1083,3321,1715,23
24,OP_4_reg.tif:24,283,1839.261,1871,1082,3297,1725,24
25,OP_4_reg.tif:25,283,1829.580,1250,1083,3285,1698,25
26,OP_4_reg.tif:26,283,1820.463,1253,1058,3289,1693,26
27,OP_4_reg.tif:27,283,1807.208,1490,1025,3250,1687,27
28,OP_4_reg.tif:28,283,1803.961,1132,1054,3185,1683,28
29,OP_4_reg.tif:29,283,1802.357,1115,1063,3174,1660,29
30,OP_4_reg.tif:30,283,1785.555,1156,1045,3159,1651,30
31,OP_4_reg.tif:31,283,1785.269,1110,1047,3161,1668,31
32,OP_4_reg.tif:32,283,1778.163,1518,1025,3123,1657,32
33,OP_4_reg.tif:33,283,1767.671,1067,1032,3095,1634,33
34,OP_4_reg.tif:34,283,1763.700,1268,1016,3100,1643,34
35,OP_4_reg.tif:35,283,1774.724,1995,1052,3124,1636,35
36,OP_4_reg.tif:36,283,1760.064,1310,1024,3086,1631,36
37,OP_4_reg.tif:37,283,1759.654,1452,1047,3047,1642,37
38,OP_4_reg.tif:38,283,1751.982,1102,1019,3063,1632,38
39,OP_4_reg.tif:39,283,1754.633,1341,1040,3063,1627,39
40,OP_4_reg.tif:40,283,1748.223,1463,1035,3079,1631,40
41,OP_4_reg.tif:41,283,1745.290,1204,1062,3023,1611,41
42,OP_4_reg.tif:42,283,1728.293,1221,1019,3031,1595,42
43,OP_4_reg.tif:43,283,1737.304,1164,1074,2984,1611,43
44,OP_4_reg.tif:44,283,1735.541,1111,1060,3011,1614,44
45,OP_4_reg.tif:45,283,1727.551,1282,1013,3076,1602,45
46,OP_4_reg.tif:46,283,1724.880,1173,1036,2969,1607,46
47,OP_4_reg.tif:47,283,1715.011,1159,1022,2954,1602,47
48,OP_4_reg.tif:48,283,1714.216,1590,1028,2856,1597,48
49,OP_4_reg.tif:49,283,1707.293,1088,1040,2927,1592,49
50,OP_4_reg.tif:50,283,1692.583,1209,1017,2897,1567,50
51,OP_4_reg.tif:51,283,1687.982,1073,1011,2876,1583,51
52,OP_4_reg.tif:52,283,1696.403,1336,1015,2889,1589,52
53,OP_4_reg.tif:53,283,1695.668,1526,1031,2897,1592,53
54,OP_4_reg.tif:54,283,1708.346,1224,1049,2905,1592,54
55,OP_4_reg.tif:55,283,1696.279,1106,1056,2725,1589,55
56,OP_4_reg.tif:56,283,1697.703,1223,1050,2774,1596,56
57,OP_4_reg.tif:57,283,1714.936,1277,1058,2832,1602,57
58,OP_4_reg.tif:58,283,1719.014,1116,1060,2845,1602,58
59,OP_4_reg.tif:59,283,1713.021,1673,1059,2780,1612,59
60,OP_4_reg.tif:60,283,1730.403,1164,1107,2876,1596,60
61,OP_4_reg.tif:61,283,1722.488,1233,1053,2900,1597,61
62,OP_4_reg.tif:62,283,1707.693,1167,1060,2823,1603,62
63,OP_4_reg.tif:63,283,1697.629,1228,1060,2761,1613,63
64,OP_4_reg.tif:64,283,1699.272,1382,1070,2832,1585,64
65,OP_4_reg.tif:65,283,1698.431,1308,1062,2796,1578,65
66,OP_4_reg.tif:66,283,1681.572,1213,1019,2795,1590,66
67,OP_4_reg.tif:67,283,1668.622,1012,1002,2774,1583,67
68,OP_4_reg.tif:68,283,1659.823,1211,1009,2771,1559,68
69,OP_4_reg.tif:69,283,1650.417,1045,1010,2792,1554,69
70,OP_4_reg.tif:70,283,1652.021,2211,1029,2719,1557,70
71,OP_4_reg.tif:71,283,1646.170,1308,1032,2688,1533,71
72,OP_4_reg.tif:72,283,1633.912,2058,999,2666,1538,72
73,OP_4_reg.tif:73,283,1634.293,1239,1020,2679,1525,73
74,OP_4_reg.tif:74,283,1622.247,1117,1010,2698,1523,74
75,OP_4_reg.tif:75,283,1618.735,1479,1016,2662,1525,75
76,OP_4_reg.tif:76,283,1618.898,1327,1029,2625,1506,76
77,OP_4_reg.tif:77,283,1606.594,1039,995,2618,1505,77
78,OP_4_reg.tif:78,283,1599.615,1683,1005,2642,1500,78
79,OP_4_reg.tif:79,283,1593.678,1121,998,2622,1485,79
80,OP_4_reg.tif:80,283,1598.929,1877,1024,2617,1492,80
