animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
OP_2_reg.tif,1,1879.99,545.114,1879.99,1805.70935,0.04113654835978997,0.25
OP_2_reg.tif,2,1869.856,541.909,1869.856,1805.70935,0.035524349475179885,0.5
OP_2_reg.tif,3,1861.244,541.636,1861.244,1805.70935,0.030755032641327257,0.75
OP_2_reg.tif,4,1853.208,541.523,1853.208,1805.70935,0.026304704021164867,1
OP_2_reg.tif,5,1850.1,538.136,1850.1,1805.70935,0.024583496784795305,1.25
OP_2_reg.tif,6,1840.956,539.114,1840.956,1805.70935,0.019519558892465066,1.5
OP_2_reg.tif,7,1829.753,535.045,1829.753,1805.70935,0.013315348895989182,1.75
OP_2_reg.tif,8,1820.949,536.182,1820.949,1805.70935,0.008439702657573314,2
OP_2_reg.tif,9,1816.244,537.977,1816.244,1805.70935,0.0058340784467886975,2.25
OP_2_reg.tif,10,1809.486,535.295,1809.486,1805.70935,0.002091504925751211,2.5
OP_2_reg.tif,11,1805.817,537.977,1805.817,1805.70935,5.961646042311373e-5,2.75
OP_2_reg.tif,12,1795.707,541.136,1795.707,1805.70935,-0.005539291248616495,3
OP_2_reg.tif,13,1782.434,539.023,1782.434,1805.70935,-0.012889865138041244,3.25
OP_2_reg.tif,14,1774.057,539.659,1774.057,1805.70935,-0.017529039211100095,3.5
OP_2_reg.tif,15,1769.38,536.659,1769.38,1805.70935,-0.020119157050385753,3.75
OP_2_reg.tif,16,1765.913,538.432,1765.913,1805.70935,-0.022039178121329477,4
OP_2_reg.tif,17,1757.756,541.114,1757.756,1805.70935,-0.026556516418326126,4.25
OP_2_reg.tif,18,1749.961,538.523,1749.961,1805.70935,-0.030873379483802345,4.5
OP_2_reg.tif,19,1745.129,541.659,1745.129,1805.70935,-0.03354933616531375,4.75
OP_2_reg.tif,20,1736.247,540.682,1736.247,1805.70935,-0.03846817872433347,5
OP_2_reg.tif,21,1727.817,532,1727.817,1805.70935,-0.04313670414344373,5.25
OP_2_reg.tif,22,1720.812,532.159,1720.812,1805.70935,-0.04701606601306029,5.5
OP_2_reg.tif,23,1717.141,530.591,1717.141,1805.70935,-0.049049062076352436,5.75
OP_2_reg.tif,24,1711.072,529.568,1711.072,1805.70935,-0.05241006809872264,6
OP_2_reg.tif,25,1705.108,532.5,1705.108,1805.70935,-0.05571292522797212,6.25
OP_2_reg.tif,26,1696.99,529.432,1696.99,1805.70935,-0.06020866536466684,6.5
OP_2_reg.tif,27,1689.44,532.205,1689.44,1805.70935,-0.06438984767952828,6.75
OP_2_reg.tif,28,1685.375,529.25,1685.375,1805.70935,-0.0666410405417683,7
OP_2_reg.tif,29,1680.072,531.455,1680.072,1805.70935,-0.0695778365438492,7.25
OP_2_reg.tif,30,1674.003,531,1674.003,1805.70935,-0.07293884256621928,7.5
OP_2_reg.tif,31,1668.326,527.659,1668.326,1805.70935,-0.0760827593876058,7.75
OP_2_reg.tif,32,1662.455,529.773,1662.455,1805.70935,-0.07933411321151998,8
OP_2_reg.tif,33,1657.201,531.25,1657.201,1805.70935,-0.08224377306347783,8.25
OP_2_reg.tif,34,1652.476,530.045,1652.476,1805.70935,-0.08486047325390432,8.5
OP_2_reg.tif,35,1648.645,532.932,1648.645,1805.70935,-0.08698207715433279,8.75
OP_2_reg.tif,36,1644.609,526.886,1644.609,1805.70935,-0.08921720984609187,9
OP_2_reg.tif,37,1635.542,530.636,1635.542,1805.70935,-0.09423850521680034,9.25
OP_2_reg.tif,38,1631.288,528.273,1631.288,1805.70935,-0.09659436608665734,9.5
OP_2_reg.tif,39,1624.414,528.864,1624.414,1805.70935,-0.10040118028961864,9.75
OP_2_reg.tif,40,1618.833,524.273,1618.833,1805.70935,-0.10349193240872347,10
OP_2_reg.tif,41,1616.044,530.136,1616.044,1805.70935,-0.10503647776980275,10.25
OP_2_reg.tif,42,1609.344,519.5,1609.344,1805.70935,-0.10874693094987851,10.5
OP_2_reg.tif,43,1604.568,529.614,1604.568,1805.70935,-0.11139187488839225,10.75
OP_2_reg.tif,44,1597.175,524.864,1597.175,1805.70935,-0.1154861107630639,11
OP_2_reg.tif,45,1597.275,520.795,1597.275,1805.70935,-0.11543073086485374,11.25
OP_2_reg.tif,46,1589.427,521.568,1589.427,1805.70935,-0.11977694527638137,11.5
OP_2_reg.tif,47,1585.72,527,1585.72,1805.70935,-0.12182987810302917,11.75
OP_2_reg.tif,48,1585.977,524.705,1585.977,1805.70935,-0.12168755176462923,12
OP_2_reg.tif,49,1577.311,522.977,1577.311,1805.70935,-0.12648677374351533,12.25
OP_2_reg.tif,50,1574.722,521.5,1574.722,1805.70935,-0.12792055930817442,12.5
