 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_2_reg.tif:1,389,1879.990,1337,1075,3447,1705,1
2,OP_2_reg.tif:2,389,1869.856,1217,1066,3415,1686,2
3,OP_2_reg.tif:3,389,1861.244,1400,1077,3379,1680,3
4,OP_2_reg.tif:4,389,1853.208,1252,1055,3364,1667,4
5,OP_2_reg.tif:5,389,1850.100,1316,1027,3317,1656,5
6,OP_2_reg.tif:6,389,1840.956,1954,1035,3287,1658,6
7,OP_2_reg.tif:7,389,1829.753,1508,1028,3241,1667,7
8,OP_2_reg.tif:8,389,1820.949,1308,1034,3217,1661,8
9,OP_2_reg.tif:9,389,1816.244,1228,1021,3191,1640,9
10,OP_2_reg.tif:10,389,1809.486,1309,1026,3167,1639,10
11,OP_2_reg.tif:11,389,1805.817,1219,1045,3169,1620,11
12,OP_2_reg.tif:12,389,1795.707,1105,1062,3149,1614,12
13,OP_2_reg.tif:13,389,1782.434,1201,1051,3091,1627,13
14,OP_2_reg.tif:14,389,1774.057,1322,1064,3078,1619,14
15,OP_2_reg.tif:15,389,1769.380,1287,1062,3061,1620,15
16,OP_2_reg.tif:16,389,1765.913,1201,1059,3082,1599,16
17,OP_2_reg.tif:17,389,1757.756,1099,1051,3053,1599,17
18,OP_2_reg.tif:18,389,1749.961,1259,1051,3082,1594,18
19,OP_2_reg.tif:19,389,1745.129,1198,1009,3042,1594,19
20,OP_2_reg.tif:20,389,1736.247,1212,1059,2992,1587,20
21,OP_2_reg.tif:21,389,1727.817,1137,1001,3034,1585,21
22,OP_2_reg.tif:22,389,1720.812,1137,1003,2993,1587,22
23,OP_2_reg.tif:23,389,1717.141,1299,1004,2974,1581,23
24,OP_2_reg.tif:24,389,1711.072,1303,987,2957,1560,24
25,OP_2_reg.tif:25,389,1705.108,1108,992,2914,1561,25
26,OP_2_reg.tif:26,389,1696.990,1133,977,2933,1553,26
27,OP_2_reg.tif:27,389,1689.440,1119,1017,2925,1549,27
28,OP_2_reg.tif:28,389,1685.375,1123,1035,2902,1558,28
29,OP_2_reg.tif:29,389,1680.072,1079,1026,2865,1538,29
30,OP_2_reg.tif:30,389,1674.003,1169,1005,2831,1536,30
31,OP_2_reg.tif:31,389,1668.326,1157,1007,2881,1522,31
32,OP_2_reg.tif:32,389,1662.455,1261,990,2822,1521,32
33,OP_2_reg.tif:33,389,1657.201,1271,1010,2865,1503,33
34,OP_2_reg.tif:34,389,1652.476,1104,1022,2838,1503,34
35,OP_2_reg.tif:35,389,1648.645,1072,1001,2790,1502,35
36,OP_2_reg.tif:36,389,1644.609,1101,1024,2815,1498,36
37,OP_2_reg.tif:37,389,1635.542,1204,988,2792,1496,37
