 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_5_reg.tif:1,253,1492.040,860,767,3874,1232,1
2,OP_5_reg.tif:2,253,1491.640,956,766,3868,1217,2
3,OP_5_reg.tif:3,253,1485.929,1034,777,3850,1228,3
4,OP_5_reg.tif:4,253,1482.534,1011,749,3833,1223,4
5,OP_5_reg.tif:5,253,1490.063,859,773,3840,1232,5
6,OP_5_reg.tif:6,253,1488.589,958,785,3844,1233,6
7,OP_5_reg.tif:7,253,1486.308,1218,772,3821,1222,7
8,OP_5_reg.tif:8,253,1482.142,1000,755,3831,1222,8
9,OP_5_reg.tif:9,253,1472.818,943,757,3796,1214,9
10,OP_5_reg.tif:10,253,1463.775,1113,750,3867,1200,10
11,OP_5_reg.tif:11,253,1457.976,970,746,3763,1191,11
12,OP_5_reg.tif:12,253,1449.510,1119,755,3719,1185,12
13,OP_5_reg.tif:13,253,1448.672,983,759,3740,1185,13
14,OP_5_reg.tif:14,253,1443.462,1165,743,3665,1188,14
15,OP_5_reg.tif:15,253,1432.601,930,724,3639,1181,15
16,OP_5_reg.tif:16,253,1428.020,1035,719,3603,1174,16
17,OP_5_reg.tif:17,253,1426.439,967,735,3587,1164,17
18,OP_5_reg.tif:18,253,1428.336,929,751,3603,1168,18
19,OP_5_reg.tif:19,253,1417.561,967,751,3584,1173,19
20,OP_5_reg.tif:20,253,1411.739,843,758,3541,1160,20
21,OP_5_reg.tif:21,253,1405.826,961,739,3573,1161,21
22,OP_5_reg.tif:22,253,1395.320,1223,753,3504,1157,22
23,OP_5_reg.tif:23,253,1390.498,956,743,3510,1157,23
24,OP_5_reg.tif:24,253,1390.162,799,744,3465,1156,24
25,OP_5_reg.tif:25,253,1393.051,926,759,3486,1162,25
26,OP_5_reg.tif:26,253,1384.988,820,739,3440,1141,26
27,OP_5_reg.tif:27,253,1379.549,934,739,3380,1142,27
28,OP_5_reg.tif:28,253,1363.818,1001,741,3318,1139,28
29,OP_5_reg.tif:29,253,1349.751,937,711,3288,1129,29
30,OP_5_reg.tif:30,253,1337.063,885,717,3280,1111,30
31,OP_5_reg.tif:31,253,1339.700,904,735,3262,1103,31
32,OP_5_reg.tif:32,253,1334.945,810,747,3266,1118,32
33,OP_5_reg.tif:33,253,1322.202,1058,737,3228,1111,33
34,OP_5_reg.tif:34,253,1318.273,826,739,3148,1105,34
35,OP_5_reg.tif:35,253,1303.095,908,706,3121,1106,35
36,OP_5_reg.tif:36,253,1302.696,927,708,3100,1099,36
37,OP_5_reg.tif:37,253,1298.213,751,698,3096,1096,37
38,OP_5_reg.tif:38,253,1295.972,906,699,3097,1088,38
39,OP_5_reg.tif:39,253,1284.747,934,694,3052,1090,39
40,OP_5_reg.tif:40,253,1288.209,914,719,3120,1077,40
41,OP_5_reg.tif:41,253,1275.945,905,725,3033,1076,41
42,OP_5_reg.tif:42,253,1266.593,864,733,3021,1080,42
43,OP_5_reg.tif:43,253,1261.783,913,715,2944,1067,43
44,OP_5_reg.tif:44,253,1269.755,898,712,2975,1074,44
45,OP_5_reg.tif:45,253,1260.123,1009,695,3044,1056,45
46,OP_5_reg.tif:46,253,1251.411,893,696,3012,1056,46
47,OP_5_reg.tif:47,253,1242.328,898,690,2916,1050,47
48,OP_5_reg.tif:48,253,1229.494,927,695,2915,1039,48
49,OP_5_reg.tif:49,253,1222.996,771,688,2896,1041,49
50,OP_5_reg.tif:50,253,1217.126,770,683,2814,1028,50
51,OP_5_reg.tif:51,253,1205.316,858,697,2787,1020,51
52,OP_5_reg.tif:52,253,1198.617,905,691,2787,1014,52
53,OP_5_reg.tif:53,253,1192.996,880,669,2734,1018,53
54,OP_5_reg.tif:54,253,1194.980,935,682,2785,1018,54
55,OP_5_reg.tif:55,253,1199.123,842,685,2791,1022,55
56,OP_5_reg.tif:56,253,1197.099,852,677,2814,1011,56
57,OP_5_reg.tif:57,253,1201.668,880,677,2818,1011,57
58,OP_5_reg.tif:58,253,1201.708,827,669,2777,1012,58
59,OP_5_reg.tif:59,253,1202.269,859,678,2815,1019,59
60,OP_5_reg.tif:60,253,1204.506,868,678,2826,1024,60
61,OP_5_reg.tif:61,253,1208.138,841,680,2798,1025,61
62,OP_5_reg.tif:62,253,1202.419,872,687,2779,1022,62
63,OP_5_reg.tif:63,253,1203.553,884,675,2858,1023,63
64,OP_5_reg.tif:64,253,1207.372,900,694,2782,1026,64
65,OP_5_reg.tif:65,253,1199.921,919,698,2795,1021,65
66,OP_5_reg.tif:66,253,1199.668,886,673,2740,1024,66
67,OP_5_reg.tif:67,253,1190.375,994,685,2712,1021,67
68,OP_5_reg.tif:68,253,1177.723,912,699,2714,1006,68
69,OP_5_reg.tif:69,253,1169.802,838,695,2637,1005,69
70,OP_5_reg.tif:70,253,1161.968,903,676,2686,986,70
71,OP_5_reg.tif:71,253,1156.862,894,693,2676,1001,71
72,OP_5_reg.tif:72,253,1155.198,807,675,2633,993,72
73,OP_5_reg.tif:73,253,1147.375,835,664,2600,1003,73
74,OP_5_reg.tif:74,253,1140.561,718,684,2537,981,74
