animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
OP_1_reg.tif,1,1500.429,330.582,1500.429,1425.55715,0.052521114288543246,0.25
OP_1_reg.tif,2,1491.948,330.648,1491.948,1425.55715,0.04657186139468347,0.5
OP_1_reg.tif,3,1485.281,330.707,1485.281,1425.55715,0.04189509343767793,0.75
OP_1_reg.tif,4,1478.558,330.562,1478.558,1425.55715,0.03717904259397801,1
OP_1_reg.tif,5,1473.082,329.91,1473.082,1425.55715,0.03333773745935055,1.25
OP_1_reg.tif,6,1458.342,330.949,1458.342,1425.55715,0.022997920497259617,1.5
OP_1_reg.tif,7,1447.186,330.422,1447.186,1425.55715,0.01517220828361727,1.75
OP_1_reg.tif,8,1438.126,330.883,1438.126,1425.55715,0.008816798400541068,2
OP_1_reg.tif,9,1436.654,329.785,1436.654,1425.55715,0.007784219664571079,2.25
OP_1_reg.tif,10,1432.173,329.547,1432.173,1425.55715,0.00464088724889066,2.5
OP_1_reg.tif,11,1423.242,330.844,1423.242,1425.55715,-0.0016240316987643257,2.75
OP_1_reg.tif,12,1412.186,329.184,1412.186,1425.55715,-0.009379595900452094,3
OP_1_reg.tif,13,1399.377,329.285,1399.377,1425.55715,-0.018364854751701912,3.25
OP_1_reg.tif,14,1392.762,329.594,1392.762,1425.55715,-0.02300514574249103,3.5
OP_1_reg.tif,15,1381.338,328.863,1381.338,1425.55715,-0.031018854628171257,3.75
OP_1_reg.tif,16,1375.766,329.547,1375.766,1425.55715,-0.03492750185427502,4
OP_1_reg.tif,17,1372.753,328.645,1372.753,1425.55715,-0.037041061454463724,4.25
OP_1_reg.tif,18,1373.797,328.656,1373.797,1425.55715,-0.036308716209658844,4.5
OP_1_reg.tif,19,1369.996,328.512,1369.996,1425.55715,-0.038975042144048726,4.75
OP_1_reg.tif,20,1368.147,328.617,1368.147,1425.55715,-0.04027207888508725,5
OP_1_reg.tif,21,1369.628,328.676,1369.628,1425.55715,-0.03923318682804135,5.25
OP_1_reg.tif,22,1367.883,328.238,1367.883,1425.55715,-0.04045726963664701,5.5
OP_1_reg.tif,23,1360.043,328.391,1360.043,1425.55715,-0.04595687377387865,5.75
OP_1_reg.tif,24,1360.355,328.641,1360.355,1425.55715,-0.045738011976580575,6
OP_1_reg.tif,25,1359.329,328.168,1359.329,1425.55715,-0.04645773057923363,6.25
OP_1_reg.tif,26,1362.022,329.133,1362.022,1425.55715,-0.04456864461729939,6.5
OP_1_reg.tif,27,1354.221,328.672,1354.221,1425.55715,-0.050040891029868625,6.75
OP_1_reg.tif,28,1356.558,328.629,1356.558,1425.55715,-0.048401531990492346,7
OP_1_reg.tif,29,1353.732,328.297,1353.732,1425.55715,-0.050383914808326075,7.25
OP_1_reg.tif,30,1348.42,328.652,1348.42,1425.55715,-0.05411017720334819,7.5
OP_1_reg.tif,31,1353.814,327.852,1353.814,1425.55715,-0.050326393438523326,7.75
OP_1_reg.tif,32,1358.879,327.371,1358.879,1425.55715,-0.04677339663302883,8
OP_1_reg.tif,33,1352.957,328.395,1352.957,1425.55715,-0.05092756190097323,8.25
OP_1_reg.tif,34,1350.42,328.422,1350.42,1425.55715,-0.05270721696425851,8.5
OP_1_reg.tif,35,1353.749,327.199,1353.749,1425.55715,-0.050371989646293774,8.75
OP_1_reg.tif,36,1347.043,327.238,1347.043,1425.55715,-0.055076115327961556,9
OP_1_reg.tif,37,1343.892,328.184,1343.892,1425.55715,-0.057286479184647236,9.25
OP_1_reg.tif,38,1342.104,328.543,1342.104,1425.55715,-0.058540725638393416,9.5
OP_1_reg.tif,39,1346.294,327.906,1346.294,1425.55715,-0.0556015239375005,9.75
OP_1_reg.tif,40,1350.606,327.898,1350.606,1425.55715,-0.052576741662023224,10
OP_1_reg.tif,41,1348.719,327.633,1348.719,1425.55715,-0.0539004346476043,10.25
OP_1_reg.tif,42,1343.39,327.148,1343.39,1425.55715,-0.05763862220465871,10.5
OP_1_reg.tif,43,1341.827,327.309,1341.827,1425.55715,-0.058735035631507365,10.75
OP_1_reg.tif,44,1340.775,327.289,1340.775,1425.55715,-0.05947299271726847,11
OP_1_reg.tif,45,1335.571,327.398,1335.571,1425.55715,-0.06312349525937994,11.25
OP_1_reg.tif,46,1330.29,327.539,1330.29,1425.55715,-0.0668280117706962,11.5
