 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
213,OP_1_reg.tif:213,231,1663.571,1279,978,2899,1562,213
214,OP_1_reg.tif:214,231,1664.606,1037,906,2908,1551,214
215,OP_1_reg.tif:215,231,1661.074,930,930,2940,1548,215
216,OP_1_reg.tif:216,231,1663.152,1018,939,2969,1571,216
217,OP_1_reg.tif:217,231,1656.126,1042,931,2907,1550,217
218,OP_1_reg.tif:218,231,1656.078,1132,940,2923,1550,218
219,OP_1_reg.tif:219,231,1657.571,2135,920,2937,1551,219
220,OP_1_reg.tif:220,231,1662.121,1637,934,2938,1547,220
221,OP_1_reg.tif:221,231,1646.641,1592,929,2920,1559,221
222,OP_1_reg.tif:222,231,1652.766,2658,932,2946,1568,222
223,OP_1_reg.tif:223,231,1671.610,1429,949,2962,1565,223
224,OP_1_reg.tif:224,231,1679.861,1077,949,2991,1559,224
225,OP_1_reg.tif:225,231,1672.615,1164,957,3043,1569,225
226,OP_1_reg.tif:226,231,1679.017,1512,940,3023,1540,226
227,OP_1_reg.tif:227,231,1671.745,1304,946,3035,1562,227
228,OP_1_reg.tif:228,231,1658.987,1348,941,2931,1539,228
229,OP_1_reg.tif:229,231,1659.156,1269,950,2951,1549,229
230,OP_1_reg.tif:230,231,1669.342,1054,937,2955,1564,230
231,OP_1_reg.tif:231,231,1658.597,1473,992,2877,1561,231
232,OP_1_reg.tif:232,231,1648.355,999,928,2913,1542,232
233,OP_1_reg.tif:233,231,1639.918,1192,1004,2923,1532,233
234,OP_1_reg.tif:234,231,1625.242,1137,940,2790,1499,234
235,OP_1_reg.tif:235,231,1610.056,1162,916,2785,1508,235
236,OP_1_reg.tif:236,231,1607.723,1078,984,2763,1511,236
237,OP_1_reg.tif:237,231,1609.537,1058,934,2780,1495,237
238,OP_1_reg.tif:238,231,1601.905,1096,923,2716,1500,238
239,OP_1_reg.tif:239,231,1617.009,1000,937,2743,1519,239
240,OP_1_reg.tif:240,231,1635.900,1261,916,2798,1539,240
241,OP_1_reg.tif:241,231,1650.857,2088,928,2856,1545,241
242,OP_1_reg.tif:242,231,1651.706,1389,936,2903,1560,242
243,OP_1_reg.tif:243,231,1658.095,1005,957,2880,1539,243
244,OP_1_reg.tif:244,231,1653.463,1355,997,2945,1553,244
245,OP_1_reg.tif:245,231,1654.693,1482,987,2977,1553,245
