 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_3_reg.tif:1,331,1032.091,771,674,1747,958,1
2,OP_3_reg.tif:2,331,1042.393,776,695,1774,972,2
3,OP_3_reg.tif:3,331,1056.054,789,687,1822,982,3
4,OP_3_reg.tif:4,331,1061.529,792,713,1816,992,4
5,OP_3_reg.tif:5,331,1074.248,853,685,1825,998,5
6,OP_3_reg.tif:6,331,1084.205,818,698,1875,1008,6
7,OP_3_reg.tif:7,331,1097.547,942,723,1886,1021,7
8,OP_3_reg.tif:8,331,1106.326,830,701,1935,1020,8
9,OP_3_reg.tif:9,331,1103.749,840,703,1926,1022,9
10,OP_3_reg.tif:10,331,1095.230,871,699,1923,1020,10
11,OP_3_reg.tif:11,331,1084.293,864,698,1873,1000,11
12,OP_3_reg.tif:12,331,1075.707,823,683,1879,997,12
13,OP_3_reg.tif:13,331,1067.912,797,705,1856,989,13
14,OP_3_reg.tif:14,331,1061.876,822,696,1820,982,14
15,OP_3_reg.tif:15,331,1060.248,806,678,1843,985,15
16,OP_3_reg.tif:16,331,1053.604,846,698,1807,979,16
17,OP_3_reg.tif:17,331,1047.743,925,695,1809,980,17
18,OP_3_reg.tif:18,331,1040.432,947,691,1759,963,18
19,OP_3_reg.tif:19,331,1035.616,908,688,1784,961,19
20,OP_3_reg.tif:20,331,1032.915,800,703,1761,958,20
21,OP_3_reg.tif:21,331,1030.112,822,696,1748,957,21
22,OP_3_reg.tif:22,331,1026.517,769,695,1772,961,22
23,OP_3_reg.tif:23,331,1025.157,806,667,1745,956,23
24,OP_3_reg.tif:24,331,1025.976,856,691,1737,956,24
25,OP_3_reg.tif:25,331,1028.867,869,685,1756,955,25
26,OP_3_reg.tif:26,331,1027.027,761,688,1759,957,26
27,OP_3_reg.tif:27,331,1024.000,783,690,1759,947,27
28,OP_3_reg.tif:28,331,1015.444,808,656,1738,936,28
29,OP_3_reg.tif:29,331,1011.006,831,654,1734,941,29
30,OP_3_reg.tif:30,331,1008.468,746,674,1719,941,30
31,OP_3_reg.tif:31,331,1005.764,763,662,1745,934,31
32,OP_3_reg.tif:32,331,1003.843,845,649,1687,941,32
33,OP_3_reg.tif:33,331,1000.441,821,647,1672,931,33
34,OP_3_reg.tif:34,331,996.326,893,653,1674,925,34
35,OP_3_reg.tif:35,331,995.378,805,678,1656,931,35
36,OP_3_reg.tif:36,331,995.746,722,680,1684,928,36
37,OP_3_reg.tif:37,331,998.287,816,659,1685,929,37
38,OP_3_reg.tif:38,331,997.804,769,694,1722,925,38
39,OP_3_reg.tif:39,331,999.574,757,682,1701,934,39
40,OP_3_reg.tif:40,331,996.193,901,680,1703,922,40
41,OP_3_reg.tif:41,331,996.006,765,678,1725,928,41
42,OP_3_reg.tif:42,331,992.094,840,684,1686,917,42
43,OP_3_reg.tif:43,331,988.251,929,691,1663,922,43
44,OP_3_reg.tif:44,331,985.541,757,656,1670,913,44
45,OP_3_reg.tif:45,331,983.060,771,670,1687,914,45
46,OP_3_reg.tif:46,331,981.937,1014,689,1628,914,46
47,OP_3_reg.tif:47,331,979.728,876,679,1664,911,47
48,OP_3_reg.tif:48,331,979.828,735,683,1631,917,48
49,OP_3_reg.tif:49,331,980.867,762,684,1639,915,49
50,OP_3_reg.tif:50,331,976.637,787,677,1611,914,50
51,OP_3_reg.tif:51,331,973.640,836,674,1622,908,51
52,OP_3_reg.tif:52,331,971.347,768,682,1632,907,52
53,OP_3_reg.tif:53,331,970.163,826,669,1628,907,53
54,OP_3_reg.tif:54,331,970.909,736,670,1621,906,54
55,OP_3_reg.tif:55,331,973.296,776,684,1617,908,55
56,OP_3_reg.tif:56,331,971.547,699,669,1619,913,56
57,OP_3_reg.tif:57,331,969.770,738,674,1604,899,57
58,OP_3_reg.tif:58,331,966.792,834,646,1598,899,58
59,OP_3_reg.tif:59,331,964.447,855,664,1604,903,59
60,OP_3_reg.tif:60,331,963.677,764,675,1588,896,60
61,OP_3_reg.tif:61,331,965.538,790,666,1595,903,61
62,OP_3_reg.tif:62,331,964.722,870,677,1609,896,62
63,OP_3_reg.tif:63,331,962.843,869,660,1609,895,63
64,OP_3_reg.tif:64,331,964.211,842,669,1607,899,64
65,OP_3_reg.tif:65,331,970.686,785,677,1613,908,65
66,OP_3_reg.tif:66,331,989.453,886,678,1656,918,66
67,OP_3_reg.tif:67,331,997.432,912,668,1673,929,67
68,OP_3_reg.tif:68,331,996.036,851,675,1690,931,68
69,OP_3_reg.tif:69,331,987.637,800,636,1655,925,69
70,OP_3_reg.tif:70,331,985.477,781,642,1679,921,70
71,OP_3_reg.tif:71,331,980.876,822,658,1651,919,71
72,OP_3_reg.tif:72,331,973.650,775,644,1627,903,72
73,OP_3_reg.tif:73,331,971.849,746,661,1613,907,73
74,OP_3_reg.tif:74,331,967.523,692,628,1638,906,74
75,OP_3_reg.tif:75,331,964.293,741,648,1591,903,75
76,OP_3_reg.tif:76,331,962.459,843,664,1600,904,76
77,OP_3_reg.tif:77,331,961.662,743,659,1623,899,77
78,OP_3_reg.tif:78,331,958.982,870,661,1590,895,78
79,OP_3_reg.tif:79,331,955.979,788,664,1557,892,79
80,OP_3_reg.tif:80,331,955.045,741,667,1600,888,80
81,OP_3_reg.tif:81,331,950.514,809,649,1578,891,81
82,OP_3_reg.tif:82,331,948.767,736,655,1572,892,82
83,OP_3_reg.tif:83,331,947.921,743,650,1549,886,83
84,OP_3_reg.tif:84,331,947.369,831,646,1537,889,84
85,OP_3_reg.tif:85,331,946.193,798,637,1553,887,85
86,OP_3_reg.tif:86,331,946.789,715,642,1567,883,86
87,OP_3_reg.tif:87,331,943.426,820,641,1559,886,87
88,OP_3_reg.tif:88,331,939.601,783,637,1544,879,88
89,OP_3_reg.tif:89,331,937.498,708,641,1535,881,89
90,OP_3_reg.tif:90,331,939.360,722,661,1522,884,90
91,OP_3_reg.tif:91,331,935.082,759,662,1519,880,91
92,OP_3_reg.tif:92,331,932.290,765,635,1528,880,92
93,OP_3_reg.tif:93,331,929.456,741,625,1532,872,93
94,OP_3_reg.tif:94,331,927.233,963,635,1496,873,94
95,OP_3_reg.tif:95,331,924.586,756,625,1508,869,95
96,OP_3_reg.tif:96,331,924.837,758,639,1529,873,96
97,OP_3_reg.tif:97,331,924.858,757,624,1508,870,97
98,OP_3_reg.tif:98,331,923.181,746,622,1515,868,98
99,OP_3_reg.tif:99,331,924.178,714,643,1498,871,99
100,OP_3_reg.tif:100,331,922.861,734,617,1507,864,100
101,OP_3_reg.tif:101,331,921.825,817,625,1473,862,101
102,OP_3_reg.tif:102,331,926.085,719,655,1501,870,102
103,OP_3_reg.tif:103,331,921.254,716,632,1490,871,103
104,OP_3_reg.tif:104,331,924.665,773,649,1500,863,104
105,OP_3_reg.tif:105,331,924.940,796,634,1500,864,105
106,OP_3_reg.tif:106,331,923.967,789,665,1494,864,106
107,OP_3_reg.tif:107,331,922.009,778,642,1477,868,107
108,OP_3_reg.tif:108,331,922.181,857,644,1514,859,108
109,OP_3_reg.tif:109,331,922.465,714,665,1522,865,109
110,OP_3_reg.tif:110,331,925.864,695,640,1503,865,110
111,OP_3_reg.tif:111,331,926.613,793,662,1506,863,111
112,OP_3_reg.tif:112,331,927.396,858,642,1526,869,112
113,OP_3_reg.tif:113,331,927.952,819,648,1499,870,113
114,OP_3_reg.tif:114,331,924.293,859,654,1507,867,114
115,OP_3_reg.tif:115,331,924.360,718,637,1522,874,115
116,OP_3_reg.tif:116,331,924.758,734,634,1525,872,116
117,OP_3_reg.tif:117,331,925.284,737,645,1522,870,117
118,OP_3_reg.tif:118,331,925.647,704,647,1508,873,118
119,OP_3_reg.tif:119,331,926.184,725,652,1501,867,119
120,OP_3_reg.tif:120,331,927.091,744,617,1516,871,120
121,OP_3_reg.tif:121,331,930.767,727,624,1553,869,121
122,OP_3_reg.tif:122,331,938.269,750,637,1546,874,122
123,OP_3_reg.tif:123,331,971.598,849,666,1604,906,123
124,OP_3_reg.tif:124,331,1008.885,780,701,1671,942,124
125,OP_3_reg.tif:125,331,1057.039,967,680,1772,987,125
126,OP_3_reg.tif:126,331,1115.634,894,707,1900,1048,126
127,OP_3_reg.tif:127,331,1185.592,845,707,2080,1114,127
128,OP_3_reg.tif:128,331,1256.574,1396,718,2229,1176,128
129,OP_3_reg.tif:129,331,1322.063,1200,713,2449,1233,129
